"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
43,"Bachelors","Married","White-Collar","Male",60,"United-States",">50K"
50,"High School","Married","Blue-Collar","Female",40,"United-States","<=50K"
20,"High School","Never-married","Blue-Collar","Male",80,"United-States","<=50K"
37,"High School","Married","White-Collar","Male",45,"United-States",">50K"
43,"High School","Never-married","Service","Female",45,"United-States","<=50K"
37,"High School","Married","White-Collar","Male",50,"United-States",">50K"
53,"Basic Education","Divorced/Spouse Absent/Separated/Widowed","Service","Female",36,"Others","<=50K"
44,"Advanced Education","Married","White-Collar","Male",40,"United-States",">50K"
25,"High School","Never-married","Service","Female",40,"United-States","<=50K"
17,"High School","Never-married","Adm-clerical","Female",20,"United-States","<=50K"
19,"High School","Never-married","Sales","Male",50,"United-States","<=50K"
53,"High School","Married","White-Collar","Female",40,"United-States",">50K"
44,"College Education","Married","Sales","Male",50,"United-States","<=50K"
51,"High School","Married","Blue-Collar","Male",40,"United-States",">50K"
49,"High School","Married","White-Collar","Female",43,"United-States","<=50K"
35,"College Education","Married","Service","Male",40,"United-States","<=50K"
44,"High School","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Male",45,"United-States","<=50K"
54,"Advanced Education","Married","White-Collar","Male",60,"United-States","<=50K"
37,"College Education","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",35,"United-States","<=50K"
18,"College Education","Never-married","Service","Female",15,"United-States","<=50K"
24,"College Education","Married","Service","Male",40,"United-States","<=50K"
29,"High School","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Female",50,"United-States","<=50K"
35,"High School","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
56,"High School","Married","Blue-Collar","Male",48,"United-States",">50K"
24,"Bachelors","Never-married","Blue-Collar","Male",45,"Others","<=50K"
43,"Advanced Education","Married","White-Collar","Male",40,"United-States",">50K"
73,"High School","Divorced/Spouse Absent/Separated/Widowed","Sales","Female",15,"United-States","<=50K"
49,"High School","Married","Blue-Collar","Male",39,"United-States","<=50K"
38,"Bachelors","Married","Sales","Male",40,"United-States",">50K"
31,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
39,"College Education","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",40,"United-States","<=50K"
42,"Bachelors","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",40,"United-States","<=50K"
41,"Advanced Education","Married","White-Collar","Male",45,"Others",">50K"
35,"Bachelors","Married","Sales","Male",45,"United-States",">50K"
38,"High School","Married","Blue-Collar","Male",45,"United-States","<=50K"
31,"High School","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",40,"United-States","<=50K"
51,"High School","Married","Service","Male",70,"United-States","<=50K"
38,"Bachelors","Divorced/Spouse Absent/Separated/Widowed","Sales","Male",48,"United-States",">50K"
40,"College Education","Married","White-Collar","Male",42,"United-States",">50K"
21,"High School","Never-married","Service","Female",30,"United-States","<=50K"
44,"College Education","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Male",40,"United-States","<=50K"
55,"High School","Married","Blue-Collar","Male",40,"United-States",">50K"
29,"High School","Divorced/Spouse Absent/Separated/Widowed","Sales","Male",45,"United-States","<=50K"
49,"Advanced Education","Married","White-Collar","Female",50,"United-States",">50K"
31,"College Education","Married","Service","Male",42,"United-States","<=50K"
24,"Advanced Education","Never-married","White-Collar","Male",90,"United-States","<=50K"
46,"College Education","Never-married","White-Collar","Male",40,"United-States","<=50K"
26,"High School","Never-married","Sales","Male",40,"United-States","<=50K"
35,"Bachelors","Never-married","Service","Male",38,"United-States","<=50K"
27,"College Education","Never-married","Sales","Male",50,"United-States","<=50K"
64,"Bachelors","Married","White-Collar","Male",35,"United-States",">50K"
26,"Bachelors","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
21,"High School","Never-married","Service","Female",16,"United-States","<=50K"
57,"High School","Married","Blue-Collar","Male",72,"United-States","<=50K"
30,"Bachelors","Married","Adm-clerical","Male",40,"United-States",">50K"
45,"High School","Married","Service","Female",32,"United-States","<=50K"
50,"Basic Education","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Female",30,"United-States","<=50K"
38,"Bachelors","Never-married","Adm-clerical","Female",40,"United-States","<=50K"
43,"College Education","Married","Blue-Collar","Male",60,"United-States","<=50K"
42,"College Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",55,"United-States","<=50K"
32,"Bachelors","Never-married","White-Collar","Male",40,"United-States","<=50K"
20,"High School","Never-married","Adm-clerical","Female",40,"United-States","<=50K"
27,"High School","Never-married","Service","Female",35,"United-States","<=50K"
45,"High School","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",40,"United-States","<=50K"
40,"High School","Never-married","Blue-Collar","Female",40,"United-States","<=50K"
38,"High School","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Male",60,"United-States","<=50K"
37,"High School","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",40,"United-States","<=50K"
60,"High School","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Female",40,"United-States","<=50K"
53,"High School","Married","White-Collar","Male",45,"United-States",">50K"
25,"Bachelors","Married","White-Collar","Female",40,"United-States","<=50K"
47,"Bachelors","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Male",60,"Others","<=50K"
40,"High School","Never-married","Farming-fishing","Male",70,"United-States","<=50K"
19,"College Education","Never-married","Service","Female",10,"United-States","<=50K"
42,"College Education","Married","White-Collar","Female",50,"United-States",">50K"
41,"Bachelors","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",40,"United-States","<=50K"
28,"High School","Never-married","Blue-Collar","Male",45,"United-States","<=50K"
46,"Advanced Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",50,"United-States",">50K"
49,"Bachelors","Married","White-Collar","Female",20,"United-States",">50K"
24,"High School","Never-married","Service","Male",40,"United-States","<=50K"
32,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
71,"High School","Married","Service","Male",20,"United-States","<=50K"
26,"College Education","Married","White-Collar","Male",40,"United-States",">50K"
29,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Male",40,"United-States","<=50K"
50,"College Education","Married","White-Collar","Male",50,"United-States",">50K"
51,"College Education","Married","Blue-Collar","Male",50,"United-States",">50K"
49,"High School","Married","Service","Female",40,"United-States",">50K"
31,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
23,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
59,"High School","Divorced/Spouse Absent/Separated/Widowed","Farming-fishing","Male",40,"United-States","<=50K"
43,"College Education","Married","Sales","Male",40,"United-States",">50K"
38,"Bachelors","Married","Sales","Male",40,"United-States",">50K"
37,"High School","Married","White-Collar","Male",40,"United-States","<=50K"
29,"High School","Never-married","Service","Male",40,"United-States","<=50K"
39,"Bachelors","Married","White-Collar","Male",50,"United-States",">50K"
31,"College Education","Never-married","Adm-clerical","Male",38,"United-States","<=50K"
42,"Bachelors","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",45,"United-States",">50K"
35,"Advanced Education","Married","White-Collar","Female",35,"United-States",">50K"
39,"Advanced Education","Married","White-Collar","Male",40,"United-States",">50K"
40,"College Education","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",40,"United-States","<=50K"
66,"Basic Education","Divorced/Spouse Absent/Separated/Widowed","Service","Female",40,"Others","<=50K"
30,"Basic Education","Married","White-Collar","Male",40,"United-States","<=50K"
43,"College Education","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Male",40,"United-States","<=50K"
47,"Basic Education","Never-married","Service","Female",50,"United-States","<=50K"
45,"Advanced Education","Never-married","Adm-clerical","Female",40,"Others","<=50K"
31,"College Education","Married","Blue-Collar","Male",40,"Others","<=50K"
33,"High School","Married","Sales","Male",40,"United-States",">50K"
32,"Bachelors","Never-married","Adm-clerical","Male",40,"United-States","<=50K"
28,"College Education","Married","Service","Male",40,"United-States","<=50K"
50,"High School","Married","Adm-clerical","Male",40,"United-States",">50K"
63,"Basic Education","Divorced/Spouse Absent/Separated/Widowed","Sales","Female",40,"United-States","<=50K"
28,"Bachelors","Married","Adm-clerical","Male",40,"United-States","<=50K"
38,"College Education","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",40,"United-States","<=50K"
52,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Female",38,"United-States","<=50K"
38,"Advanced Education","Married","White-Collar","Male",40,"United-States",">50K"
41,"High School","Never-married","White-Collar","Male",40,"United-States","<=50K"
50,"Advanced Education","Never-married","White-Collar","Male",38,"United-States","<=50K"
59,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
32,"High School","Married","Sales","Male",49,"United-States","<=50K"
73,"Basic Education","Married","Service","Male",10,"United-States","<=50K"
52,"High School","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Male",38,"United-States","<=50K"
57,"High School","Married","White-Collar","Male",60,"United-States","<=50K"
35,"College Education","Married","White-Collar","Male",50,"United-States",">50K"
51,"Bachelors","Married","Blue-Collar","Male",56,"United-States",">50K"
22,"High School","Divorced/Spouse Absent/Separated/Widowed","Sales","Female",35,"United-States","<=50K"
49,"High School","Married","Sales","Male",40,"United-States",">50K"
22,"High School","Never-married","Service","Male",40,"United-States","<=50K"
46,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
48,"High School","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Female",40,"United-States","<=50K"
43,"Bachelors","Married","Adm-clerical","Male",50,"United-States",">50K"
25,"Basic Education","Married","Service","Male",40,"Others","<=50K"
31,"Basic Education","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
19,"College Education","Never-married","Sales","Male",36,"United-States","<=50K"
51,"High School","Married","Blue-Collar","Male",84,"United-States",">50K"
51,"Bachelors","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Male",40,"United-States",">50K"
22,"High School","Never-married","White-Collar","Female",40,"Others",">50K"
37,"High School","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",35,"United-States","<=50K"
19,"College Education","Never-married","Sales","Female",30,"United-States","<=50K"
45,"High School","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Female",55,"United-States","<=50K"
21,"College Education","Never-married","Service","Male",10,"United-States","<=50K"
52,"High School","Divorced/Spouse Absent/Separated/Widowed","Sales","Female",40,"United-States","<=50K"
46,"College Education","Married","White-Collar","Male",24,"United-States","<=50K"
42,"Advanced Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",38,"United-States","<=50K"
56,"High School","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
23,"High School","Never-married","Adm-clerical","Female",40,"United-States","<=50K"
58,"Advanced Education","Married","Sales","Male",40,"United-States","<=50K"
70,"High School","Married","Farming-fishing","Male",30,"United-States","<=50K"
30,"College Education","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Male",40,"United-States","<=50K"
45,"Bachelors","Married","Adm-clerical","Male",40,"Others","<=50K"
23,"College Education","Never-married","Blue-Collar","Male",44,"United-States","<=50K"
34,"College Education","Married","Blue-Collar","Male",40,"United-States","<=50K"
38,"Bachelors","Married","Blue-Collar","Female",40,"United-States","<=50K"
24,"College Education","Married","Blue-Collar","Male",40,"United-States","<=50K"
53,"Basic Education","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
45,"High School","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
21,"College Education","Never-married","Service","Female",40,"Others","<=50K"
34,"Bachelors","Never-married","White-Collar","Female",40,"United-States","<=50K"
32,"High School","Married","Blue-Collar","Male",45,"United-States",">50K"
21,"High School","Married","Service","Male",40,"United-States","<=50K"
23,"Basic Education","Never-married","Service","Male",36,"United-States","<=50K"
28,"Bachelors","Divorced/Spouse Absent/Separated/Widowed","Blue-Collar","Male",50,"United-States","<=50K"
29,"High School","Never-married","Blue-Collar","Male",45,"United-States","<=50K"
25,"Bachelors","Never-married","White-Collar","Female",40,"United-States","<=50K"
44,"Advanced Education","Never-married","White-Collar","Female",60,"United-States","<=50K"
18,"High School","Never-married","Service","Female",8,"United-States","<=50K"
26,"High School","Never-married","Service","Male",24,"United-States","<=50K"
47,"College Education","Married","Adm-clerical","Female",35,"United-States",">50K"
23,"High School","Divorced/Spouse Absent/Separated/Widowed","Sales","Male",40,"United-States","<=50K"
46,"College Education","Married","Blue-Collar","Male",40,"United-States","<=50K"
61,"Bachelors","Married","White-Collar","Male",50,"United-States",">50K"
25,"High School","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
38,"High School","Married","Service","Male",54,"United-States",">50K"
23,"College Education","Never-married","Service","Male",20,"United-States","<=50K"
36,"High School","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",48,"United-States","<=50K"
46,"Basic Education","Divorced/Spouse Absent/Separated/Widowed","Service","Male",25,"United-States","<=50K"
32,"Bachelors","Married","White-Collar","Male",45,"United-States",">50K"
40,"High School","Married","Blue-Collar","Male",40,"United-States","<=50K"
31,"High School","Never-married","Adm-clerical","Male",40,"United-States","<=50K"
31,"College Education","Married","White-Collar","Male",65,"United-States",">50K"
32,"Bachelors","Never-married","Adm-clerical","Male",37,"United-States","<=50K"
21,"College Education","Never-married","Service","Male",10,"United-States","<=50K"
63,"College Education","Married","Sales","Male",40,"United-States",">50K"
44,"College Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Male",45,"United-States",">50K"
42,"Bachelors","Married","Sales","Male",60,"United-States","<=50K"
30,"College Education","Divorced/Spouse Absent/Separated/Widowed","Adm-clerical","Female",45,"United-States","<=50K"
24,"High School","Never-married","Service","Male",40,"Others","<=50K"
42,"Bachelors","Married","White-Collar","Male",40,"United-States",">50K"
44,"High School","Married","White-Collar","Female",40,"Others",">50K"
27,"Bachelors","Never-married","White-Collar","Male",48,"United-States","<=50K"
27,"College Education","Never-married","White-Collar","Male",40,"United-States","<=50K"
22,"High School","Never-married","Service","Female",45,"United-States","<=50K"
68,"High School","Never-married","Sales","Female",40,"United-States","<=50K"
55,"College Education","Married","Farming-fishing","Male",99,"United-States",">50K"
22,"High School","Never-married","Service","Male",40,"Others","<=50K"
25,"College Education","Married","White-Collar","Female",15,"United-States","<=50K"
68,"High School","Married","Farming-fishing","Male",45,"United-States","<=50K"
62,"College Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",16,"United-States","<=50K"
26,"High School","Divorced/Spouse Absent/Separated/Widowed","Service","Male",40,"United-States","<=50K"
34,"Advanced Education","Married","White-Collar","Male",55,"United-States",">50K"
68,"College Education","Divorced/Spouse Absent/Separated/Widowed","Sales","Male",40,"United-States","<=50K"
42,"Bachelors","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Male",45,"United-States",">50K"
45,"Bachelors","Married","Sales","Male",55,"United-States","<=50K"
26,"High School","Never-married","Blue-Collar","Male",40,"United-States","<=50K"
25,"High School","Married","Blue-Collar","Male",45,"United-States","<=50K"
23,"Bachelors","Never-married","White-Collar","Male",50,"United-States","<=50K"
65,"Basic Education","Divorced/Spouse Absent/Separated/Widowed","Farming-fishing","Female",50,"United-States","<=50K"
31,"High School","Never-married","Blue-Collar","Male",50,"United-States","<=50K"
26,"High School","Never-married","Adm-clerical","Female",40,"United-States","<=50K"
39,"College Education","Married","Blue-Collar","Male",50,"United-States",">50K"
44,"High School","Married","Blue-Collar","Male",40,"United-States",">50K"
45,"Advanced Education","Divorced/Spouse Absent/Separated/Widowed","White-Collar","Female",45,"United-States","<=50K"
26,"Advanced Education","Never-married","White-Collar","Female",50,"United-States","<=50K"
26,"High School","Married","Blue-Collar","Male",35,"United-States","<=50K"
36,"Basic Education","Married","Blue-Collar","Male",50,"United-States","<=50K"
38,"High School","Married","Blue-Collar","Male",45,"United-States","<=50K"
39,"High School","Never-married","Blue-Collar","Male",48,"United-States","<=50K"
52,"Advanced Education","Married","White-Collar","Male",40,"United-States","<=50K"
